,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
US_Equity,0.001848779,0.000917787,0.001036605,0.000852585,0.001855069,0.000605091,0.001262184,0.000882076,0.000777384,0.001416267,0.000531526,0.001395919,0.001422327,0.001044566,0.000747194,0.001402826,0.001619721,0.001421243,0.000848532,0.000550124,0.000383191,0.000427109,0.000522759,0.000498986,0.000669381,0.000531995,0.000635219,-8.64E-05,0.00010536,0.000151323,0.000327714,0.00029861,2.89E-05,0.000609324,0.000245793,0.001144407,0.001507823,0.000469637,0.000926076,0.00034284
EU_Equity,0.000917787,0.001990769,0.001393042,0.00094993,0.00096657,0.000870708,0.001309826,0.001169558,0.000748808,0.001380476,0.000991629,0.001099208,0.001053802,0.001496068,0.001131428,0.001102675,0.001104758,0.000992284,0.000830929,0.000711498,0.000758673,0.000707037,0.00059741,0.000475485,0.00099061,0.000818257,0.000682035,-0.000482315,0.000490847,0.00064979,0.00057586,0.000149029,0.000587156,-0.000154902,0.000351789,0.001254505,0.001007793,0.000310311,0.00055198,0.000316549
Intl_Developed,0.001036605,0.001393042,0.001672052,0.001005311,0.001184001,0.000769944,0.001280976,0.001132223,0.000714731,0.001407189,0.000870636,0.001154218,0.001130914,0.00142563,0.001070732,0.001192435,0.001202348,0.001066412,0.000810208,0.000726389,0.000760413,0.000699903,0.000608049,0.00048569,0.001042297,0.000806815,0.000692733,-0.000438139,0.000473036,0.000620697,0.000575546,0.000165124,0.000481606,-5.62E-05,0.000331633,0.001251059,0.001122309,0.000357536,0.000637875,0.00030837
EM_Equity,0.000852585,0.00094993,0.001005311,0.001590939,0.00113092,0.000422354,0.000891141,0.00084531,0.000630317,0.001034432,0.000485968,0.000971434,0.001118347,0.001187668,0.000800664,0.000951377,0.000829981,0.000817679,0.000503708,0.00062969,0.000588314,0.000623196,0.000518015,0.000378967,0.000781532,0.000610762,0.000623396,-0.000344342,0.000427508,0.000375522,0.000501773,0.000430695,0.00051317,0.000452181,0.000264253,0.000891083,0.000879242,0.000325988,0.000563339,0.000254069
Global_Tech,0.001855069,0.00096657,0.001184001,0.00113092,0.003645633,0.000428688,0.001163014,0.000834764,0.000390906,0.001546832,0.000395768,0.001637126,0.00190488,0.000969593,0.000624599,0.001472155,0.001946225,0.001743355,0.000782939,0.000631064,0.000481713,0.000533094,0.000625086,0.00057613,0.000851421,0.000708836,0.000725346,-0.000160977,0.000180808,4.21E-05,0.000323201,0.000185672,-7.54E-05,0.000632182,0.000263021,0.001125215,0.001851983,0.00054625,0.001255372,0.000428754
Global_Healthcare,0.000605091,0.000870708,0.000769944,0.000422354,0.000428688,0.00143332,0.000769214,0.000576225,0.000684708,0.00075222,0.000690169,0.000546322,0.000495576,0.000940122,0.000628213,0.000869248,0.000681581,0.00075306,0.000802683,0.000754751,0.000492003,0.000421925,0.000474586,0.000335968,0.000653758,0.000445733,0.00048136,-0.000236527,0.000245302,0.000464829,0.000357342,0.000184202,0.000204834,-1.20E-05,0.000304963,0.000950461,0.000674573,0.000158602,0.000288198,0.000145808
Global_Financials,0.001262184,0.001309826,0.001280976,0.000891141,0.001163014,0.000769214,0.002180339,0.001226229,0.001259283,0.001575334,0.000817967,0.001297051,0.001231926,0.001394551,0.001093429,0.001538207,0.001455832,0.001237746,0.000989442,0.000596561,0.000515207,0.000534572,0.000559335,0.000514927,0.000742037,0.000630598,0.000703164,-0.000196123,0.000234935,0.000446998,0.000484612,0.000378151,0.000355322,0.000480378,0.000288287,0.001375884,0.001326914,0.000469547,0.000774958,0.000355689
Global_Infrastructure,0.000882076,0.001169558,0.001132223,0.00084531,0.000834764,0.000576225,0.001226229,0.001621909,0.000870666,0.001290279,0.000856512,0.000974892,0.000872097,0.001312479,0.001288974,0.001058442,0.000973884,0.00087458,0.000775197,0.000576961,0.000640396,0.000587431,0.000521102,0.000411276,0.000866615,0.000618937,0.000592336,-0.000324058,0.000396232,0.000532497,0.000538599,0.000233344,0.000595952,-0.000101952,0.000290158,0.001187155,0.00096522,0.000317716,0.000508115,0.000281639
Global Energy,0.000777384,0.000748808,0.000714731,0.000630317,0.000390906,0.000684708,0.001259283,0.000870666,0.003450028,0.001000229,0.000455391,0.000484635,0.000493283,0.001113824,0.000764637,0.001420034,0.000607708,0.000744282,0.000764239,0.000234592,-1.42E-05,0.000175778,0.00031727,0.000345262,-0.000112997,0.000108615,0.000420396,0.000129801,1.06E-05,-7.18E-05,0.0003098,0.001390339,4.55E-05,0.002221982,0.000228473,0.000817561,0.000735469,0.000317759,0.000412399,0.000224194
Global Industrials,0.001416267,0.001380476,0.001407189,0.001034432,0.001546832,0.00075222,0.001575334,0.001290279,0.001000229,0.002249692,0.000877062,0.001492219,0.001362468,0.001537825,0.001205105,0.001547931,0.001648748,0.001386554,0.00098317,0.00063852,0.000646541,0.000640723,0.000607798,0.000557363,0.000973184,0.000757728,0.000747331,-0.00029154,0.000340123,0.000484497,0.000565096,0.000255411,0.000384552,0.000266946,0.000316182,0.00141967,0.00149949,0.000493443,0.000869638,0.000379577
Global Consumer Staples,0.000531526,0.000991629,0.000870636,0.000485968,0.000395768,0.000690169,0.000817967,0.000856512,0.000455391,0.000877062,0.001161917,0.000665946,0.000458219,0.000984007,0.000938679,0.000692691,0.00068227,0.000622793,0.000702341,0.000604601,0.000574712,0.000453179,0.000427729,0.000300654,0.000779181,0.000472377,0.000444863,-0.000276232,0.000296925,0.000571898,0.000414648,-7.79E-06,0.000384176,-0.000560728,0.000279169,0.000965225,0.000625255,0.000143851,0.000258283,0.000161951
Global Consumer Discretionary,0.001395919,0.001099208,0.001154218,0.000971434,0.001637126,0.000546322,0.001297051,0.000974892,0.000484635,0.001492219,0.000665946,0.002345367,0.001448297,0.001281963,0.000754651,0.001313925,0.001527419,0.001377964,0.000811743,0.000646734,0.000532426,0.000533612,0.000586314,0.000538022,0.000891448,0.000561225,0.000695442,-0.000202191,0.00011233,0.000352024,0.000355236,5.02E-05,8.11E-05,8.53E-05,0.00027106,0.001277034,0.001489105,0.000466169,0.000816186,0.000354767
Global Comm Services,0.001422327,0.001053802,0.001130914,0.001118347,0.00190488,0.000495576,0.001231926,0.000872097,0.000493283,0.001362468,0.000458219,0.001448297,0.002297199,0.001090241,0.000720934,0.001264352,0.001622563,0.001365204,0.000715266,0.00052154,0.000455818,0.000560917,0.000529671,0.000486959,0.000689683,0.000613356,0.000664912,-0.000176704,0.000236397,0.000189304,0.000423308,0.000327579,0.000339067,0.000580905,0.000246997,0.000962864,0.001418769,0.000477669,0.000937187,0.000352279
Global Materials,0.001044566,0.001496068,0.00142563,0.001187668,0.000969593,0.000940122,0.001394551,0.001312479,0.001113824,0.001537825,0.000984007,0.001281963,0.001090241,0.002418212,0.001318809,0.00140891,0.00109989,0.001108359,0.000909319,0.000887976,0.000813452,0.000775958,0.000696957,0.000542644,0.001139907,0.000764181,0.000803201,-0.00041991,0.00047493,0.000705987,0.000705232,0.000435336,0.000604468,-6.46E-06,0.000392505,0.001488182,0.001147286,0.00037706,0.000540448,0.000302721
Global Utilities,0.000747194,0.001131428,0.001070732,0.000800664,0.000624599,0.000628213,0.001093429,0.001288974,0.000764637,0.001205105,0.000938679,0.000754651,0.000720934,0.001318809,0.001912145,0.000935459,0.000797747,0.000753895,0.000787864,0.000657685,0.000667585,0.000607249,0.000531461,0.000377565,0.000905918,0.000576609,0.000602042,-0.000297892,0.000419472,0.000620539,0.000587658,0.000202961,0.000776139,-0.000394581,0.000335843,0.001151945,0.00082208,0.000254002,0.000380545,0.000235262
Style_Value,0.001402826,0.001102675,0.001192435,0.000951377,0.001472155,0.000869248,0.001538207,0.001058442,0.001420034,0.001547931,0.000692691,0.001313925,0.001264352,0.00140891,0.000935459,0.002252588,0.001455359,0.001366751,0.001012047,0.000800811,0.000523693,0.000537446,0.000652082,0.000573903,0.000812712,0.000579196,0.000755477,-0.000168725,0.000186507,0.000389953,0.000457106,0.000544014,7.35E-05,0.000800958,0.000348428,0.001408666,0.001454478,0.000490313,0.000812762,0.000326781
Style_Momentum,0.001619721,0.001104758,0.001202348,0.000829981,0.001946225,0.000681581,0.001455832,0.000973884,0.000607708,0.001648748,0.00068227,0.001527419,0.001622563,0.00109989,0.000797747,0.001455359,0.002825974,0.001568028,0.000968582,0.000442607,0.000435624,0.000457329,0.00047056,0.000503716,0.000733294,0.000637275,0.000619578,-0.000120993,0.000178505,0.000214889,0.000416075,0.000142176,7.33E-05,0.000321919,0.000206754,0.001182776,0.001661494,0.000513026,0.001021261,0.000352915
Style_Quality,0.001421243,0.000992284,0.001066412,0.000817679,0.001743355,0.00075306,0.001237746,0.00087458,0.000744282,0.001386554,0.000622793,0.001377964,0.001365204,0.001108359,0.000753895,0.001366751,0.001568028,0.001792649,0.000907028,0.000624616,0.000440534,0.000459971,0.000546616,0.000501504,0.00074059,0.000558745,0.000651519,-0.000120409,0.000135606,0.000226461,0.000357854,0.000239772,5.17E-05,0.000412512,0.000273359,0.001198214,0.00146523,0.000430084,0.000866475,0.000332126
Style_MinVol,0.000848532,0.000830929,0.000810208,0.000503708,0.000782939,0.000802683,0.000989442,0.000775197,0.000764239,0.00098317,0.000702341,0.000811743,0.000715266,0.000909319,0.000787864,0.001012047,0.000968582,0.000907028,0.001075096,0.000626811,0.000425718,0.000380358,0.00046437,0.000365613,0.000618266,0.000404054,0.000506313,-0.000130891,0.000165802,0.000371802,0.000349121,0.000198553,0.000248191,9.36E-05,0.000279747,0.001024958,0.00090655,0.000250096,0.00048746,0.000217937
Rates_US_Long,0.000550124,0.000711498,0.000726389,0.00062969,0.000631064,0.000754751,0.000596561,0.000576961,0.000234592,0.00063852,0.000604601,0.000646734,0.00052154,0.000887976,0.000657685,0.000800811,0.000442607,0.000624616,0.000626811,0.001673705,0.000723269,0.000545193,0.000733271,0.000371081,0.001081244,0.000472622,0.000626365,-0.000355547,0.000291945,0.000708132,0.000357663,-0.000127226,0.000179903,-0.000650887,0.000419068,0.001088566,0.000630929,0.000148722,0.000256133,0.000138713
Rates_Developed,0.000383191,0.000758673,0.000760413,0.000588314,0.000481713,0.000492003,0.000515207,0.000640396,-1.42E-05,0.000646541,0.000574712,0.000532426,0.000455818,0.000813452,0.000667585,0.000523693,0.000435624,0.000440534,0.000425718,0.000723269,0.000961604,0.000563448,0.000477944,0.000287448,0.00105944,0.000622924,0.000444439,-0.000497913,0.000486855,0.00071724,0.000417614,-0.000229024,0.00042242,-0.000792042,0.000268592,0.000763594,0.000479326,0.000124798,0.000217058,0.000138925
Rates_EM,0.000427109,0.000707037,0.000699903,0.000623196,0.000533094,0.000421925,0.000534572,0.000587431,0.000175778,0.000640723,0.000453179,0.000533612,0.000560917,0.000775958,0.000607249,0.000537446,0.000457329,0.000459971,0.000380358,0.000545193,0.000563448,0.000682031,0.000395206,0.000256812,0.000729417,0.000523677,0.000425164,-0.000360325,0.000388713,0.000486699,0.000401309,7.50E-06,0.000325442,-0.000314183,0.000208062,0.000653371,0.000483798,0.000149158,0.00022215,0.000120622
Credit_US_IG,0.000522759,0.00059741,0.000608049,0.000518015,0.000625086,0.000474586,0.000559335,0.000521102,0.00031727,0.000607798,0.000427729,0.000586314,0.000529671,0.000696957,0.000531461,0.000652082,0.00047056,0.000546616,0.00046437,0.000733271,0.000477944,0.000395206,0.000609781,0.00030352,0.000702516,0.000384642,0.000453629,-0.000236384,0.000208106,0.000420666,0.000266098,2.27E-05,0.000164587,-0.000167348,0.000263181,0.000755613,0.000576071,0.000159065,0.000287386,0.000154891
Credit_US_HY,0.000498986,0.000475485,0.00048569,0.000378967,0.00057613,0.000335968,0.000514927,0.000411276,0.000345262,0.000557363,0.000300654,0.000538022,0.000486959,0.000542644,0.000377565,0.000573903,0.000503716,0.000501504,0.000365613,0.000371081,0.000287448,0.000256812,0.00030352,0.000323154,0.000441013,0.000299023,0.000319618,-0.000126266,0.000112528,0.00022902,0.000182625,9.44E-05,8.30E-05,8.82E-05,0.000167548,0.000554347,0.000531482,0.000157454,0.000293438,0.000150232
Credit_EU_IG,0.000669381,0.00099061,0.001042297,0.000781532,0.000851421,0.000653758,0.000742037,0.000866615,-0.000112997,0.000973184,0.000779181,0.000891448,0.000689683,0.001139907,0.000905918,0.000812712,0.000733294,0.00074059,0.000618266,0.001081244,0.00105944,0.000729417,0.000702516,0.000441013,0.002138056,0.000869724,0.000658892,-0.000636157,0.000588182,0.000932665,0.000528679,-0.000427303,0.000544708,-0.001222603,0.000386244,0.001136197,0.000804918,0.000196883,0.000418354,0.000233665
Credit_EU_HY,0.000531995,0.000818257,0.000806815,0.000610762,0.000708836,0.000445733,0.000630598,0.000618937,0.000108615,0.000757728,0.000472377,0.000561225,0.000613356,0.000764181,0.000576609,0.000579196,0.000637275,0.000558745,0.000404054,0.000472622,0.000622924,0.000523677,0.000384642,0.000299023,0.000869724,0.000923815,0.000429404,-0.000456239,0.000469492,0.000510619,0.000384148,-9.04E-05,0.000356075,-0.000314896,0.000199576,0.000700267,0.000595283,0.000179495,0.000389535,0.000196707
Credit_EM,0.000635219,0.000682035,0.000692733,0.000623396,0.000725346,0.00048136,0.000703164,0.000592336,0.000420396,0.000747331,0.000444863,0.000695442,0.000664912,0.000803201,0.000602042,0.000755477,0.000619578,0.000651519,0.000506313,0.000626365,0.000444439,0.000425164,0.000453629,0.000319618,0.000658892,0.000429404,0.000631461,-0.000212665,0.000205862,0.000376824,0.000304699,0.000116763,0.000189456,3.44E-05,0.000239189,0.000795213,0.000680457,0.000212502,0.000361415,0.000177187
FX_USD,-8.64E-05,-0.000482315,-0.000438139,-0.000344342,-0.000160977,-0.000236527,-0.000196123,-0.000324058,0.000129801,-0.00029154,-0.000276232,-0.000202191,-0.000176704,-0.00041991,-0.000297892,-0.000168725,-0.000120993,-0.000120409,-0.000130891,-0.000355547,-0.000497913,-0.000360325,-0.000236384,-0.000126266,-0.000636157,-0.000456239,-0.000212665,0.000599973,-0.00040617,-0.000446445,-0.000223075,0.000203662,-0.000320504,0.000447638,-0.000135276,-0.00033749,-0.000144496,-5.73E-05,-6.85E-05,-8.50E-05
FX_EUR,0.00010536,0.000490847,0.000473036,0.000427508,0.000180808,0.000245302,0.000234935,0.000396232,1.06E-05,0.000340123,0.000296925,0.00011233,0.000236397,0.00047493,0.000419472,0.000186507,0.000178505,0.000135606,0.000165802,0.000291945,0.000486855,0.000388713,0.000208106,0.000112528,0.000588182,0.000469492,0.000205862,-0.00040617,0.00059271,0.000396831,0.000318694,-5.13E-05,0.000456127,-0.000367396,0.000120143,0.000291218,0.000144787,5.34E-05,9.75E-05,7.32E-05
FX_JPY,0.000151323,0.00064979,0.000620697,0.000375522,4.21E-05,0.000464829,0.000446998,0.000532497,-7.18E-05,0.000484497,0.000571898,0.000352024,0.000189304,0.000705987,0.000620539,0.000389953,0.000214889,0.000226461,0.000371802,0.000708132,0.00071724,0.000486699,0.000420666,0.00022902,0.000932665,0.000510619,0.000376824,-0.000446445,0.000396831,0.001088875,0.000381804,-0.000340488,0.000380682,-0.001022505,0.000249248,0.000715084,0.00025705,6.28E-05,4.11E-05,6.75E-05
FX_EM,0.000327714,0.00057586,0.000575546,0.000501773,0.000323201,0.000357342,0.000484612,0.000538599,0.0003098,0.000565096,0.000414648,0.000355236,0.000423308,0.000705232,0.000587658,0.000457106,0.000416075,0.000357854,0.000349121,0.000357663,0.000417614,0.000401309,0.000266098,0.000182625,0.000528679,0.000384148,0.000304699,-0.000223075,0.000318694,0.000381804,0.000501303,0.000114428,0.000348904,-0.000225716,0.000145415,0.000537791,0.000366374,0.000117455,0.000185238,8.76E-05
Commodities_Broad,0.00029861,0.000149029,0.000165124,0.000430695,0.000185672,0.000184202,0.000378151,0.000233344,0.001390339,0.000255411,-7.79E-06,5.02E-05,0.000327579,0.000435336,0.000202961,0.000544014,0.000142176,0.000239772,0.000198553,-0.000127226,-0.000229024,7.50E-06,2.27E-05,9.44E-05,-0.000427303,-9.04E-05,0.000116763,0.000203662,-5.13E-05,-0.000340488,0.000114428,0.00154421,6.97E-05,0.002040736,5.63E-05,0.000123807,0.000218014,0.000139178,0.00016116,5.95E-05
Commodities_Gold,2.89E-05,0.000587156,0.000481606,0.00051317,-7.54E-05,0.000204834,0.000355322,0.000595952,4.55E-05,0.000384552,0.000384176,8.11E-05,0.000339067,0.000604468,0.000776139,7.35E-05,7.33E-05,5.17E-05,0.000248191,0.000179903,0.00042242,0.000325442,0.000164587,8.30E-05,0.000544708,0.000356075,0.000189456,-0.000320504,0.000456127,0.000380682,0.000348904,6.97E-05,0.001781709,-0.000379183,0.000181371,0.000252153,2.78E-05,5.66E-05,0.00015608,0.000166286
Commodities_Oil,0.000609324,-0.000154902,-5.62E-05,0.000452181,0.000632182,-1.20E-05,0.000480378,-0.000101952,0.002221982,0.000266946,-0.000560728,8.53E-05,0.000580905,-6.46E-06,-0.000394581,0.000800958,0.000321919,0.000412512,9.36E-05,-0.000650887,-0.000792042,-0.000314183,-0.000167348,8.82E-05,-0.001222603,-0.000314896,3.44E-05,0.000447638,-0.000367396,-0.001022505,-0.000225716,0.002040736,-0.000379183,0.006254464,-9.05E-05,-0.000178257,0.000428426,0.000312477,0.000497384,0.000162159
Inflation_Expectations,0.000245793,0.000351789,0.000331633,0.000264253,0.000263021,0.000304963,0.000288287,0.000290158,0.000228473,0.000316182,0.000279169,0.00027106,0.000246997,0.000392505,0.000335843,0.000348428,0.000206754,0.000273359,0.000279747,0.000419068,0.000268592,0.000208062,0.000263181,0.000167548,0.000386244,0.000199576,0.000239189,-0.000135276,0.000120143,0.000249248,0.000145415,5.63E-05,0.000181371,-9.05E-05,0.000247254,0.000417553,0.000268905,6.97E-05,0.000121027,8.91E-05
Global_Real_Estate,0.001144407,0.001254505,0.001251059,0.000891083,0.001125215,0.000950461,0.001375884,0.001187155,0.000817561,0.00141967,0.000965225,0.001277034,0.000962864,0.001488182,0.001151945,0.001408666,0.001182776,0.001198214,0.001024958,0.001088566,0.000763594,0.000653371,0.000755613,0.000554347,0.001136197,0.000700267,0.000795213,-0.00033749,0.000291218,0.000715084,0.000537791,0.000123807,0.000252153,-0.000178257,0.000417553,0.002174196,0.001269671,0.000374669,0.000621883,0.00030863
ESG,0.001507823,0.001007793,0.001122309,0.000879242,0.001851983,0.000674573,0.001326914,0.00096522,0.000735469,0.00149949,0.000625255,0.001489105,0.001418769,0.001147286,0.00082208,0.001454478,0.001661494,0.00146523,0.00090655,0.000630929,0.000479326,0.000483798,0.000576071,0.000531482,0.000804918,0.000595283,0.000680457,-0.000144496,0.000144787,0.00025705,0.000366374,0.000218014,2.78E-05,0.000428426,0.000268905,0.001269671,0.001965411,0.000478784,0.000929585,0.000353343
HF,0.000469637,0.000310311,0.000357536,0.000325988,0.00054625,0.000158602,0.000469547,0.000317716,0.000317759,0.000493443,0.000143851,0.000466169,0.000477669,0.00037706,0.000254002,0.000490313,0.000513026,0.000430084,0.000250096,0.000148722,0.000124798,0.000149158,0.000159065,0.000157454,0.000196883,0.000179495,0.000212502,-5.73E-05,5.34E-05,6.28E-05,0.000117455,0.000139178,5.66E-05,0.000312477,6.97E-05,0.000374669,0.000478784,0.000245311,0.000301343,0.000125451
Diversified PE,0.000926076,0.00055198,0.000637875,0.000563339,0.001255372,0.000288198,0.000774958,0.000508115,0.000412399,0.000869638,0.000258283,0.000816186,0.000937187,0.000540448,0.000380545,0.000812762,0.001021261,0.000866475,0.00048746,0.000256133,0.000217058,0.00022215,0.000287386,0.000293438,0.000418354,0.000389535,0.000361415,-6.85E-05,9.75E-05,4.11E-05,0.000185238,0.00016116,0.00015608,0.000497384,0.000121027,0.000621883,0.000929585,0.000301343,0.000897954,0.00026578
Diversified Debt,0.00034284,0.000316549,0.00030837,0.000254069,0.000428754,0.000145808,0.000355689,0.000281639,0.000224194,0.000379577,0.000161951,0.000354767,0.000352279,0.000302721,0.000235262,0.000326781,0.000352915,0.000332126,0.000217937,0.000138713,0.000138925,0.000120622,0.000154891,0.000150232,0.000233665,0.000196707,0.000177187,-8.50E-05,7.32E-05,6.75E-05,8.76E-05,5.95E-05,0.000166286,0.000162159,8.91E-05,0.00030863,0.000353343,0.000125451,0.00026578,0.000192585
